"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4188","valid login test","","Sun Sep 22 01:08:05 UTC 2024","passed","Sun Sep 22 01:08:10 UTC 2024","","login test automation","login test automation","valid login test"
"","376","uncheck checkbox2","","Sun Sep 22 01:08:03 UTC 2024","passed","Sun Sep 22 01:08:03 UTC 2024","","checkbox test","checkbox test","uncheck checkbox2"
"","1044","empty username login test","","Sun Sep 22 01:08:12 UTC 2024","passed","Sun Sep 22 01:08:13 UTC 2024","","login test automation","login test automation","empty username login test"
"","309","check checkbox2 ","","Sun Sep 22 01:08:03 UTC 2024","passed","Sun Sep 22 01:08:04 UTC 2024","","checkbox test","checkbox test","check checkbox2 "
"","903","empty password login test","","Sun Sep 22 01:08:13 UTC 2024","passed","Sun Sep 22 01:08:14 UTC 2024","","login test automation","login test automation","empty password login test"
"","1204","invalid password login test","","Sun Sep 22 01:08:11 UTC 2024","passed","Sun Sep 22 01:08:12 UTC 2024","","login test automation","login test automation","invalid password login test"
"","1336","invalid username login test","","Sun Sep 22 01:08:10 UTC 2024","passed","Sun Sep 22 01:08:11 UTC 2024","","login test automation","login test automation","invalid username login test"
"","3594","check checkbox1 ","","Sun Sep 22 01:07:59 UTC 2024","passed","Sun Sep 22 01:08:02 UTC 2024","","checkbox test","checkbox test","check checkbox1 "
"","338","uncheck checkbox1","","Sun Sep 22 01:08:02 UTC 2024","passed","Sun Sep 22 01:08:03 UTC 2024","","checkbox test","checkbox test","uncheck checkbox1"
